Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10 00:00:00-05:00,135.08999633789062,137.2899932861328,135.08999633789062,136.6199951171875,136.6199951171875,1803100
2022-11-11 00:00:00-05:00,138.5,142.4199981689453,137.75999450683594,140.6300048828125,140.6300048828125,2808200
2022-11-14 00:00:00-05:00,140.0399932861328,141.5,138.6699981689453,138.75999450683594,138.75999450683594,1973800
2022-11-15 00:00:00-05:00,140.5,142.30999755859375,137.77999877929688,138.5399932861328,138.5399932861328,2612500
2022-11-16 00:00:00-05:00,137.38999938964844,139.25999450683594,136.41000366210938,138.3800048828125,138.3800048828125,1498400
2022-11-17 00:00:00-05:00,135.85000610351562,138.10000610351562,135.3800048828125,137.9600067138672,137.9600067138672,1393400
2022-11-18 00:00:00-05:00,139.97999572753906,140.82000732421875,138.3699951171875,139.50999450683594,139.50999450683594,1095900
2022-11-21 00:00:00-05:00,139.11000061035156,140.05999755859375,137.05999755859375,137.91000366210938,137.91000366210938,1123600
2022-11-22 00:00:00-05:00,138.6300048828125,140.32000732421875,137.89999389648438,139.99000549316406,139.99000549316406,1233000
2022-11-23 00:00:00-05:00,140.08999633789062,141.02000427246094,138.35000610351562,138.5399932861328,138.5399932861328,1184700
2022-11-25 00:00:00-05:00,138.3000030517578,139.3000030517578,137.08999633789062,138.25,138.25,977600
2022-11-28 00:00:00-05:00,136.39999389648438,137.72999572753906,135.41000366210938,137.0,137.0,1760600
2022-11-29 00:00:00-05:00,137.19000244140625,139.2899932861328,137.02000427246094,138.75,138.75,1630300
2022-11-30 00:00:00-05:00,139.1999969482422,142.66000366210938,138.3800048828125,142.6199951171875,142.6199951171875,2455000
2022-12-01 00:00:00-05:00,143.1199951171875,143.77000427246094,141.82000732421875,142.3000030517578,142.3000030517578,1136700
2022-12-02 00:00:00-05:00,140.3000030517578,141.77000427246094,140.1999969482422,141.4199981689453,141.4199981689453,1010600
2022-12-05 00:00:00-05:00,140.80999755859375,141.50999450683594,138.97000122070312,139.13999938964844,139.13999938964844,1266200
2022-12-06 00:00:00-05:00,139.10000610351562,139.88999938964844,136.05999755859375,137.57000732421875,137.57000732421875,1216600
2022-12-07 00:00:00-05:00,136.10000610351562,136.6999969482422,133.83999633789062,134.32000732421875,134.32000732421875,2192700
2022-12-08 00:00:00-05:00,135.30999755859375,137.49000549316406,135.30999755859375,137.16000366210938,137.16000366210938,1468800
2022-12-09 00:00:00-05:00,136.8300018310547,138.1300048828125,136.60000610351562,137.42999267578125,137.42999267578125,1419600
